Bar Name,Brand Name,abc_class,series_class,lead_time_days,service_level,z_score,avg_forecast_demand_per_day_ml,forecast_rmse_ml,lead_time_demand_ml,safety_stock_ml,par_level_ml,reorder_point_ml
Smith's Bar,Budweiser,C,intermittent-seasonal,3,99%,2.326,46.3,146.5,139.0,590.2,729.3,729.3
Smith's Bar,Budweiser,C,intermittent-seasonal,5,90%,1.282,46.3,146.5,231.7,420.0,651.7,651.7
Smith's Bar,Budweiser,C,intermittent-seasonal,5,95%,1.645,46.3,146.5,231.7,538.9,770.6,770.6
Smith's Bar,Budweiser,C,intermittent-seasonal,5,99%,2.326,46.3,146.5,231.7,762.0,993.7,993.7
Taylor's Bar,Sutter Home,B,intermittent-volatile,2,90%,1.282,69.3,206.7,138.7,374.8,513.5,513.5
Taylor's Bar,Sutter Home,B,intermittent-volatile,2,95%,1.645,69.3,206.7,138.7,480.9,619.6,619.6
Taylor's Bar,Sutter Home,B,intermittent-volatile,2,99%,2.326,69.3,206.7,138.7,680.0,818.7,818.7
Taylor's Bar,Sutter Home,B,intermittent-volatile,3,90%,1.282,69.3,206.7,208.0,459.0,667.0,667.0
Taylor's Bar,Sutter Home,B,intermittent-volatile,3,95%,1.645,69.3,206.7,208.0,589.0,797.0,797.0
Taylor's Bar,Sutter Home,B,intermittent-volatile,3,99%,2.326,69.3,206.7,208.0,832.8,1040.8,1040.8
Taylor's Bar,Sutter Home,B,intermittent-volatile,5,90%,1.282,69.3,206.7,346.7,592.6,939.3,939.3
Taylor's Bar,Sutter Home,B,intermittent-volatile,5,95%,1.645,69.3,206.7,346.7,760.4,1107.1,1107.1
Taylor's Bar,Sutter Home,B,intermittent-volatile,5,99%,2.326,69.3,206.7,346.7,1075.2,1421.9,1421.9
Thomas's Bar,Grey Goose,A,intermittent-stable,2,90%,1.282,103.5,192.1,207.1,348.2,555.3,555.3
Thomas's Bar,Grey Goose,A,intermittent-stable,2,95%,1.645,103.5,192.1,207.1,446.8,653.9,653.9
Thomas's Bar,Grey Goose,A,intermittent-stable,2,99%,2.326,103.5,192.1,207.1,631.8,838.9,838.9
Thomas's Bar,Grey Goose,A,intermittent-stable,3,90%,1.282,103.5,192.1,310.6,426.5,737.1,737.1
Thomas's Bar,Grey Goose,A,intermittent-stable,3,95%,1.645,103.5,192.1,310.6,547.3,857.9,857.9
Thomas's Bar,Grey Goose,A,intermittent-stable,3,99%,2.326,103.5,192.1,310.6,773.8,1084.5,1084.5
Thomas's Bar,Grey Goose,A,intermittent-stable,5,90%,1.282,103.5,192.1,517.7,550.6,1068.3,1068.3
Thomas's Bar,Grey Goose,A,intermittent-stable,5,95%,1.645,103.5,192.1,517.7,706.5,1224.2,1224.2
Thomas's Bar,Grey Goose,A,intermittent-stable,5,99%,2.326,103.5,192.1,517.7,999.0,1516.7,1516.7
Thomas's Bar,Heineken,C,intermittent-volatile,2,90%,1.282,27.6,109.7,55.3,198.9,254.2,254.2
Thomas's Bar,Heineken,C,intermittent-volatile,2,95%,1.645,27.6,109.7,55.3,255.2,310.5,310.5
Thomas's Bar,Heineken,C,intermittent-volatile,2,99%,2.326,27.6,109.7,55.3,360.9,416.2,416.2
Thomas's Bar,Heineken,C,intermittent-volatile,3,90%,1.282,27.6,109.7,82.9,243.6,326.5,326.5
Thomas's Bar,Heineken,C,intermittent-volatile,3,95%,1.645,27.6,109.7,82.9,312.6,395.5,395.5
Thomas's Bar,Heineken,C,intermittent-volatile,3,99%,2.326,27.6,109.7,82.9,442.0,524.9,524.9
Thomas's Bar,Heineken,C,intermittent-volatile,5,90%,1.282,27.6,109.7,138.1,314.5,452.7,452.7
Thomas's Bar,Heineken,C,intermittent-volatile,5,95%,1.645,27.6,109.7,138.1,403.6,541.7,541.7
Thomas's Bar,Heineken,C,intermittent-volatile,5,99%,2.326,27.6,109.7,138.1,570.7,708.8,708.8
Thomas's Bar,Yellow Tail,A,intermittent-seasonal,2,90%,1.282,99.9,192.3,199.8,348.6,548.4,548.4
Thomas's Bar,Yellow Tail,A,intermittent-seasonal,2,95%,1.645,99.9,192.3,199.8,447.4,647.1,647.1
Thomas's Bar,Yellow Tail,A,intermittent-seasonal,2,99%,2.326,99.9,192.3,199.8,632.5,832.3,832.3
Thomas's Bar,Yellow Tail,A,intermittent-seasonal,3,90%,1.282,99.9,192.3,299.7,427.0,726.6,726.6
Thomas's Bar,Yellow Tail,A,intermittent-seasonal,3,95%,1.645,99.9,192.3,299.7,547.9,847.6,847.6
Thomas's Bar,Yellow Tail,A,intermittent-seasonal,3,99%,2.326,99.9,192.3,299.7,774.7,1074.4,1074.4
Thomas's Bar,Yellow Tail,A,intermittent-seasonal,5,90%,1.282,99.9,192.3,499.4,551.2,1050.7,1050.7
Thomas's Bar,Yellow Tail,A,intermittent-seasonal,5,95%,1.645,99.9,192.3,499.4,707.3,1206.8,1206.8
Thomas's Bar,Yellow Tail,A,intermittent-seasonal,5,99%,2.326,99.9,192.3,499.4,1000.1,1499.6,1499.6
