Bar Name,Brand Name,consumed_ml,pct_of_total,cum_pct,abc_class
Thomas's Bar,Miller,21842.3,0.011094886717235939,0.4783710180954294,A
Smith's Bar,Sutter Home,21832.97,0.011090147505107555,0.489461165600537,A
Taylor's Bar,Barefoot,21726.79,0.011036212934497495,0.5004973785350345,A
Thomas's Bar,Malibu,21676.34,0.011010586648122683,0.5115079651831572,A
Johnson's Bar,Yellow Tail,21600.25,0.010971936417592268,0.5224799016007495,A
Anderson's Bar,Coors,21479.29,0.010910494284789548,0.533390395885539,A
Anderson's Bar,Jack Daniels,21454.32,0.0108978106699079,0.544288206555447,A
Taylor's Bar,Jameson,21441.19,0.010891141232046627,0.5551793477874936,A
Thomas's Bar,Smirnoff,21417.85,0.01087928558241356,0.5660586333699071,A
Smith's Bar,Barefoot,21232.32,0.010785044850775924,0.576843678220683,A
Thomas's Bar,Barefoot,21030.86,0.010682712409684356,0.5875263906303674,A
Brown's Bar,Sutter Home,20634.920000000002,0.010481593047400055,0.5980079836777674,A
Smith's Bar,Miller,20572.98,0.010450130367953952,0.6084581140457214,A
Thomas's Bar,Absolut,20429.04,0.010377015449008653,0.6188351294947301,A
Thomas's Bar,Captain Morgan,19875.62,0.01009590346872028,0.6289310329634503,A
Anderson's Bar,Yellow Tail,19760.03,0.010037189049650615,0.6389682220131009,A
Johnson's Bar,Coors,19542.98,0.009926937603512799,0.6488951596166137,A
Brown's Bar,Heineken,19537.43,0.0099241184580345,0.6588192780746482,A
Johnson's Bar,Heineken,19525.87,0.009918246508173393,0.6687375245828217,A
Johnson's Bar,Budweiser,19345.170000000002,0.009826459195033086,0.6785639837778548,A
Brown's Bar,Barefoot,19246.22,0.009776197132856919,0.6883401809107117,A
Smith's Bar,Bacardi,19114.25,0.00970916242497022,0.6980493433356819,A
Brown's Bar,Malibu,19057.03,0.009680097289066023,0.707729440624748,A
Johnson's Bar,Jack Daniels,19002.59,0.009652444265671677,0.7173818848904197,A
Brown's Bar,Jack Daniels,18868.36,0.00958426158142805,0.7269661464718477,A
Johnson's Bar,Bacardi,18711.57,0.00950461945178074,0.7364707659236284,A
Taylor's Bar,Absolut,18506.079999999998,0.009400239955504028,0.7458710058791324,A
Thomas's Bar,Yellow Tail,18394.35,0.00934348623941567,0.7552144921185481,A
Brown's Bar,Absolut,18358.23,0.009325138935870413,0.7645396310544185,A
Anderson's Bar,Miller,18180.3,0.009234758655698554,0.773774389710117,A
Smith's Bar,Jack Daniels,18084.16,0.009185923944656445,0.7829603136547735,A
Smith's Bar,Jameson,18083.46,0.00918556837675828,0.7921458820315318,A
Brown's Bar,Captain Morgan,17887.5,0.009086029683438001,0.8012319117149698,B
Johnson's Bar,Jameson,17708.62,0.008995166846832919,0.8102270785618026,B
Anderson's Bar,Heineken,17413.71,0.008845366091336472,0.8190724446531391,B
Brown's Bar,Smirnoff,17102.29,0.00868717901298476,0.8277596236661239,B
Smith's Bar,Heineken,17079.0,0.008675348761058707,0.8364349724271826,B
Smith's Bar,Smirnoff,17018.2,0.008644465149332472,0.845079437576515,B
Brown's Bar,Budweiser,16696.49,0.00848105122287775,0.8535604887993928,B
Johnson's Bar,Jim Beam,16581.27,0.008422524746839974,0.8619830135462329,B
Taylor's Bar,Bacardi,16573.82,0.00841874048849523,0.8704017540347281,B
Brown's Bar,Miller,16480.91,0.008371546469326077,0.8787733005040541,B
Taylor's Bar,Yellow Tail,16415.18,0.008338158643688486,0.8871114591477426,B
Johnson's Bar,Miller,16325.26,0.008292483407398634,0.8954039425551412,B
Taylor's Bar,Sutter Home,15951.02,0.008102386649957414,0.9035063292050987,B
Thomas's Bar,Jameson,15837.64,0.008044794809537667,0.9115511240146363,B
Smith's Bar,Coors,15173.35,0.007707365953721537,0.9192584899683579,B
Thomas's Bar,Budweiser,15071.1,0.007655427642882597,0.9269139176112405,B
Taylor's Bar,Coors,14578.49,0.007405204353861862,0.9343191219651024,B
Taylor's Bar,Miller,14317.58,0.007272674039133376,0.9415917960042357,B
Brown's Bar,Coors,14029.01,0.007126093712886013,0.9487178897171217,B
Thomas's Bar,Sutter Home,13964.45,0.007093300193592497,0.9558111899107141,C
Smith's Bar,Budweiser,13615.460000000001,0.006916029278192189,0.9627272191889064,C
Anderson's Bar,Malibu,13594.76,0.0069055146274893415,0.9696327338163957,C
Thomas's Bar,Heineken,13302.41,0.006757014234591894,0.9763897480509875,C
Thomas's Bar,Coors,13196.2,0.0067030644253576275,0.9830928124763452,C
Anderson's Bar,Absolut,13113.91,0.0066612648791577606,0.9897540773555029,C
Taylor's Bar,Heineken,10108.67,0.0051347407787605435,0.9948888181342634,C
Anderson's Bar,Budweiser,10062.29,0.0051111818657364845,0.9999999999999999,C
