Bar Name,Brand Name,abc_class,series_class,lead_time_days,service_level,z_score,avg_forecast_demand_per_day_ml,forecast_rmse_ml,lead_time_demand_ml,safety_stock_ml,par_level_ml,reorder_point_ml
Taylor's Bar,Budweiser,A,intermittent-stable,2,95%,1.645,22.7,115.1,45.4,267.8,313.2,313.2
Thomas's Bar,Heineken,C,intermittent-volatile,2,95%,1.645,27.6,109.7,55.3,255.2,310.5,310.5
Brown's Bar,Captain Morgan,B,intermittent-stable,2,95%,1.645,34.8,94.9,69.6,220.8,290.4,290.4
Johnson's Bar,Barefoot,A,intermittent-seasonal,2,95%,1.645,26.7,99.9,53.4,232.5,285.8,285.8
Taylor's Bar,Heineken,C,intermittent-stable,2,95%,1.645,20.2,99.6,40.4,231.7,272.1,272.1
Brown's Bar,Jack Daniels,A,intermittent-stable,2,95%,1.645,17.7,98.1,35.4,228.1,263.6,263.6
Brown's Bar,Miller,B,intermittent-seasonal,2,95%,1.645,27.6,85.0,55.1,197.8,253.0,253.0
Anderson's Bar,Malibu,C,intermittent-stable,2,95%,1.645,24.3,86.7,48.6,201.6,250.2,250.2
Thomas's Bar,Jameson,B,intermittent-volatile,2,95%,1.645,3.8,72.2,7.6,167.9,175.5,175.5
Anderson's Bar,Budweiser,C,intermittent-volatile,2,95%,1.645,0.0,0.0,0.0,0.0,0.0,0.0
