Bar Name,Brand Name,avg_forecast_demand_per_day,avg_actual_demand_per_day,forecast_rmse,n_obs,abc_class,pct_zero_days,series_class,freq_bucket
Johnson's Bar,Smirnoff,42.797432432432444,42.79743243243243,128.6638510797918,74,A,0.819672131147541,intermittent-stable,high-frequency
Johnson's Bar,Sutter Home,56.200540540540544,59.29594594594594,158.98035286152034,74,A,0.8224043715846995,intermittent-stable,mid-frequency
Johnson's Bar,Yellow Tail,83.22465250965251,72.71783783783783,162.90015656197218,74,A,0.8169398907103825,intermittent-volatile,high-frequency
Smith's Bar,Absolut,66.70393822393824,70.18364864864866,142.90716553559355,74,A,0.7786885245901639,intermittent-volatile,high-frequency
Smith's Bar,Bacardi,70.13021235521235,67.60175675675676,152.97914927266964,74,A,0.8579234972677595,intermittent-stable,low-frequency
Smith's Bar,Barefoot,58.0554247104247,58.80905405405405,160.76852451845525,74,A,0.8387978142076503,intermittent-stable,mid-frequency
Smith's Bar,Budweiser,46.34640926640927,45.52581081081081,146.50538788917316,74,C,0.8825136612021858,intermittent-seasonal,low-frequency
Smith's Bar,Captain Morgan,34.25266409266409,36.57445945945946,126.60541034206224,74,A,0.8114754098360656,intermittent-volatile,high-frequency
Smith's Bar,Coors,35.61897683397684,29.94297297297297,116.65667975951985,74,B,0.8852459016393442,intermittent-stable,low-frequency
Smith's Bar,Grey Goose,81.37123552123553,74.04621621621622,173.4145373655816,74,A,0.8114754098360656,intermittent-seasonal,high-frequency
Smith's Bar,Heineken,56.027200772200764,58.51986486486487,159.64139925033737,74,B,0.8688524590163934,intermittent-stable,low-frequency
Smith's Bar,Jack Daniels,33.15857142857143,31.966621621621623,118.0158368937068,74,A,0.8579234972677595,intermittent-stable,low-frequency
Smith's Bar,Jameson,70.32011583011582,67.80243243243244,162.26948744463112,74,A,0.8524590163934426,intermittent-volatile,mid-frequency
Smith's Bar,Jim Beam,45.950135135135135,43.068783783783786,123.49251696894382,74,A,0.8032786885245902,intermittent-stable,high-frequency
Smith's Bar,Malibu,52.43745173745174,59.848108108108114,152.85175558435,74,A,0.8005464480874317,intermittent-volatile,high-frequency
Smith's Bar,Miller,45.043127413127415,35.226486486486486,121.73580293041596,74,A,0.8387978142076503,intermittent-stable,mid-frequency
Smith's Bar,Smirnoff,62.30364864864864,62.303648648648654,159.5427284271767,74,B,0.860655737704918,intermittent-volatile,low-frequency
Smith's Bar,Sutter Home,88.84204633204632,89.88486486486485,170.45155675391916,74,A,0.8224043715846995,intermittent-stable,mid-frequency
Smith's Bar,Yellow Tail,69.04175675675677,69.04175675675675,178.53155355443894,74,A,0.8169398907103825,intermittent-stable,high-frequency
Taylor's Bar,Absolut,60.16638996138996,51.81135135135135,165.09724527145124,74,A,0.8524590163934426,intermittent-stable,mid-frequency
Taylor's Bar,Bacardi,33.068513513513516,30.119189189189193,142.5122811031505,74,B,0.855191256830601,intermittent-volatile,low-frequency
Taylor's Bar,Barefoot,66.57741312741314,63.83027027027026,165.4160831211923,74,A,0.8169398907103825,intermittent-volatile,high-frequency
Taylor's Bar,Budweiser,22.70561776061776,29.18472972972973,115.11846563242693,74,A,0.8497267759562842,intermittent-stable,mid-frequency
Taylor's Bar,Captain Morgan,60.86440154440154,65.09851351351351,174.459905345673,74,A,0.819672131147541,intermittent-volatile,high-frequency
Taylor's Bar,Coors,35.72781853281853,40.285540540540545,110.74709177053612,74,B,0.8661202185792349,intermittent-volatile,low-frequency
Taylor's Bar,Grey Goose,81.34465250965252,78.27175675675676,173.92553433181953,74,A,0.7868852459016393,intermittent-stable,high-frequency
Taylor's Bar,Heineken,20.19648648648649,20.196486486486485,99.59447930924841,74,C,0.9153005464480874,intermittent-stable,low-frequency
Taylor's Bar,Jack Daniels,49.610926640926664,47.156486486486486,141.22067917966086,74,A,0.8114754098360656,intermittent-volatile,high-frequency
Taylor's Bar,Jameson,68.40125482625483,67.96662162162163,176.34528771764963,74,A,0.819672131147541,intermittent-volatile,high-frequency
Taylor's Bar,Jim Beam,77.87212355212354,88.11878378378378,203.55964808350885,74,A,0.8005464480874317,intermittent-volatile,high-frequency
Taylor's Bar,Malibu,62.14949806949808,61.652702702702705,153.32461507453755,74,A,0.825136612021858,intermittent-volatile,mid-frequency
Taylor's Bar,Miller,30.484189189189195,24.142162162162162,130.2245494457585,74,B,0.8879781420765027,intermittent-seasonal,low-frequency
Taylor's Bar,Smirnoff,86.70285714285714,94.37108108108109,194.47354368679092,74,A,0.8306010928961749,intermittent-seasonal,mid-frequency
Taylor's Bar,Sutter Home,69.33256756756758,69.33256756756757,206.72658835400827,74,B,0.8743169398907104,intermittent-volatile,low-frequency
Taylor's Bar,Yellow Tail,35.714729729729726,35.714729729729726,123.43528366361208,74,B,0.8688524590163934,intermittent-stable,low-frequency
Thomas's Bar,Absolut,51.60969111969112,48.33756756756757,125.48546700716189,74,A,0.8333333333333334,intermittent-seasonal,mid-frequency
Thomas's Bar,Bacardi,74.9895945945946,82.72743243243244,191.68008270801064,74,A,0.819672131147541,intermittent-stable,high-frequency
Thomas's Bar,Barefoot,65.5557722007722,63.83121621621622,150.25396339070946,74,A,0.8278688524590164,intermittent-stable,mid-frequency
Thomas's Bar,Budweiser,58.87824324324324,58.87824324324324,144.28786360779213,74,B,0.8934426229508197,intermittent-volatile,low-frequency
Thomas's Bar,Captain Morgan,60.492374517374515,56.49527027027027,148.9352405897279,74,A,0.8306010928961749,intermittent-volatile,mid-frequency
Thomas's Bar,Coors,25.481795366795367,28.57283783783784,116.90314271958856,74,C,0.8961748633879781,intermittent-stable,low-frequency
Thomas's Bar,Grey Goose,103.5484942084942,101.18391891891892,192.0707920459809,74,A,0.7841530054644809,intermittent-stable,high-frequency
Thomas's Bar,Heineken,27.62683397683398,27.844594594594593,109.71754037186109,74,C,0.8934426229508197,intermittent-volatile,low-frequency
Thomas's Bar,Jack Daniels,45.63760617760615,47.40837837837838,135.81362541543163,74,A,0.8087431693989071,intermittent-volatile,high-frequency
Thomas's Bar,Jameson,3.776003861003861,12.049054054054052,72.18079568289917,74,B,0.8633879781420765,intermittent-volatile,low-frequency
Thomas's Bar,Jim Beam,57.9971235521236,56.32837837837838,147.16364056251393,74,A,0.8169398907103825,intermittent-stable,high-frequency
Thomas's Bar,Malibu,46.064227799227794,46.81027027027027,126.86624026575046,74,A,0.8306010928961749,intermittent-seasonal,mid-frequency
Thomas's Bar,Miller,40.92189189189191,40.921891891891896,144.24012641447587,74,A,0.8497267759562842,intermittent-volatile,mid-frequency
Thomas's Bar,Smirnoff,66.43189189189187,71.92594594594595,183.0860371068968,74,A,0.8306010928961749,intermittent-stable,mid-frequency
Thomas's Bar,Sutter Home,32.600694980694996,32.86472972972973,118.639413084282,74,C,0.8907103825136612,intermittent-stable,low-frequency
Thomas's Bar,Yellow Tail,99.88557915057915,95.47972972972973,192.29594488573616,74,A,0.8415300546448088,intermittent-seasonal,mid-frequency
